sex,age_cat,race,priors_count,c_charge_degree,two_year_recid,length_of_stay
Male,> 45,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,African-American,3.608838786279569,F,1,0.2740349732404635
Male,< 25,African-American,-0.53622353537557,F,1,-0.3598635205517965
Male,> 45,African-American,3.806222706358385,M,1,-0.3598635205517965
Male,< 25,African-American,-0.7336074554543861,M,1,-0.34065447528536436
Female,25 - 45,Caucasian,-0.3388396152967538,F,1,-0.3598635205517965
Male,> 45,African-American,-0.14145569521793772,F,0,-0.3214454300189323
Male,> 45,Caucasian,0.8454639051761429,M,1,1.003978693364884
Male,25 - 45,African-American,1.8323835055702236,F,1,1.5034138702921191
Male,25 - 45,African-American,-0.3388396152967538,M,1,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,1,-0.3598635205517965
Male,25 - 45,African-American,1.0428478252549591,F,1,1.157651055496341
Male,> 45,Caucasian,-0.3388396152967538,F,0,6.5169746848309025
Male,< 25,African-American,-0.7336074554543861,F,1,-0.3598635205517965
Male,25 - 45,African-American,-0.3388396152967538,M,0,0.12036261110900652
Female,< 25,African-American,-0.53622353537557,M,0,-0.3598635205517965
Male,> 45,Caucasian,-0.53622353537557,F,0,-0.34065447528536436
Female,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,25 - 45,Caucasian,0.0559282248608784,M,0,-0.34065447528536436
Female,25 - 45,African-American,3.806222706358385,F,1,-0.3214454300189323
Male,25 - 45,African-American,-0.3388396152967538,F,1,-0.34065447528536436
Male,25 - 45,African-American,-0.7336074554543861,M,0,-0.3214454300189323
Female,25 - 45,African-American,-0.7336074554543861,F,0,0.19719879217473502
Male,25 - 45,Caucasian,1.4376156654125913,F,1,1.9644309566864901
Female,25 - 45,Caucasian,0.6480799850973268,F,1,-0.34065447528536436
Male,25 - 45,African-American,-0.3388396152967538,F,0,-0.34065447528536436
Male,25 - 45,Caucasian,-0.3388396152967538,M,0,0.33166210903975984
Female,25 - 45,African-American,-0.53622353537557,F,0,0.3700801995726241
Male,> 45,Caucasian,0.6480799850973268,F,1,-0.3598635205517965
Male,25 - 45,African-American,2.227151345727856,F,0,-0.34065447528536436
Male,25 - 45,African-American,-0.3388396152967538,M,0,-0.3598635205517965
Male,> 45,African-American,-0.14145569521793772,F,0,3.8277083475304057
Male,> 45,Caucasian,-0.53622353537557,F,0,-0.3598635205517965
Female,> 45,Caucasian,-0.7336074554543861,M,1,-0.3598635205517965
Male,> 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,> 45,African-American,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,Caucasian,0.0559282248608784,F,1,-0.34065447528536436
Female,25 - 45,African-American,-0.3388396152967538,F,0,-0.3214454300189323
Female,25 - 45,African-American,0.2533121449396945,M,0,-0.3598635205517965
Male,25 - 45,African-American,1.4376156654125913,F,1,3.9237535738625664
Male,25 - 45,African-American,-0.7336074554543861,M,0,-0.34065447528536436
Male,> 45,African-American,1.4376156654125913,F,0,2.1181033188179472
Male,< 25,African-American,-0.3388396152967538,F,0,1.003978693364884
Female,25 - 45,African-American,-0.3388396152967538,F,1,3.9813807096618627
Male,25 - 45,African-American,-0.7336074554543861,M,0,-0.3598635205517965
Male,> 45,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,1.8323835055702236,F,1,0.6197977880362416
Male,> 45,African-American,-0.7336074554543861,F,0,-0.11014593208817892
Male,25 - 45,Caucasian,-0.53622353537557,F,0,-0.30223638475250014
Male,25 - 45,African-American,1.4376156654125913,M,1,-0.34065447528536436
Male,25 - 45,Caucasian,-0.53622353537557,F,0,-0.24460924895320377
Male,< 25,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Male,25 - 45,African-American,0.0559282248608784,F,0,-0.3790725658182286
Male,25 - 45,Caucasian,-0.7336074554543861,F,1,0.21640783744116712
Male,25 - 45,Caucasian,-0.7336074554543861,F,1,0.3124530637733277
Male,25 - 45,African-American,2.0297674256490397,F,0,-0.34065447528536436
Male,25 - 45,African-American,0.0559282248608784,M,0,1.0808148744306125
Male,> 45,Caucasian,-0.53622353537557,M,0,-0.34065447528536436
Male,25 - 45,African-American,4.200990546516017,F,1,0.12036261110900652
Male,25 - 45,Caucasian,0.8454639051761429,M,1,-0.283027339486068
Male,25 - 45,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Male,< 25,Caucasian,-0.53622353537557,M,1,-0.2638182942196359
Male,25 - 45,Caucasian,0.8454639051761429,F,1,0.06273547530971016
Male,25 - 45,Caucasian,0.0559282248608784,F,0,0.831097285966995
Male,< 25,African-American,-0.14145569521793772,M,1,-0.3598635205517965
Female,< 25,Caucasian,-0.53622353537557,M,1,0.19719879217473502
Male,25 - 45,African-American,-0.14145569521793772,M,1,-0.24460924895320377
Female,< 25,Caucasian,0.2533121449396945,F,1,-0.3598635205517965
Male,25 - 45,African-American,-0.53622353537557,M,0,-0.3598635205517965
Male,< 25,African-American,-0.53622353537557,F,1,-0.34065447528536436
Male,25 - 45,African-American,-0.3388396152967538,F,1,-0.34065447528536436
Male,25 - 45,African-American,0.0559282248608784,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.3388396152967538,M,0,-0.16777306788747529
Female,25 - 45,African-American,-0.3388396152967538,F,0,-0.3598635205517965
Male,< 25,African-American,-0.7336074554543861,F,0,-0.3214454300189323
Female,> 45,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Female,< 25,African-American,-0.7336074554543861,F,1,-0.30223638475250014
Female,> 45,African-American,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,1,-0.34065447528536436
Male,25 - 45,African-American,1.4376156654125913,F,1,-0.34065447528536436
Male,< 25,African-American,-0.14145569521793772,M,1,-0.34065447528536436
Female,< 25,Caucasian,-0.53622353537557,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.3388396152967538,F,0,0.4084982901054883
Female,25 - 45,African-American,-0.3388396152967538,M,0,-0.3598635205517965
Male,25 - 45,African-American,4.003606626437201,M,0,1.8875947756207616
Male,> 45,African-American,-0.14145569521793772,F,1,0.1011535658425744
Male,25 - 45,African-American,-0.7336074554543861,F,0,0.42770733537192046
Male,25 - 45,Caucasian,-0.14145569521793772,F,0,-0.3214454300189323
Male,25 - 45,African-American,-0.14145569521793772,M,1,-0.3214454300189323
Male,> 45,Caucasian,-0.53622353537557,M,0,-0.12935497735461104
Male,> 45,Caucasian,0.45069606501851067,F,1,-0.3598635205517965
Male,> 45,Caucasian,-0.14145569521793772,F,0,-0.0909368868217468
Male,< 25,African-American,-0.7336074554543861,M,1,-0.34065447528536436
Male,25 - 45,African-American,-0.53622353537557,M,1,-0.34065447528536436
Male,25 - 45,Caucasian,0.2533121449396945,M,0,-0.34065447528536436
Male,< 25,African-American,-0.53622353537557,F,1,0.5621706522369453
Male,25 - 45,African-American,0.2533121449396945,M,0,-0.3598635205517965
Male,< 25,Caucasian,-0.7336074554543861,F,1,-0.3598635205517965
Male,25 - 45,African-American,0.2533121449396945,F,1,-0.3214454300189323
Male,25 - 45,African-American,-0.3388396152967538,F,0,1.2344872365620694
Male,25 - 45,African-American,0.45069606501851067,F,1,-0.3214454300189323
Male,25 - 45,Caucasian,-0.53622353537557,M,1,-0.3598635205517965
Male,> 45,Caucasian,-0.3388396152967538,F,0,-0.34065447528536436
Female,< 25,African-American,-0.7336074554543861,M,0,-0.3598635205517965
Male,< 25,African-American,-0.53622353537557,F,0,0.33166210903975984
Male,< 25,African-American,0.0559282248608784,M,1,-0.14856402262104318
Male,> 45,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,African-American,0.0559282248608784,M,1,-0.3598635205517965
Male,25 - 45,Caucasian,0.2533121449396945,F,0,-0.16777306788747529
Female,25 - 45,African-American,0.2533121449396945,F,0,-0.3790725658182286
Male,25 - 45,African-American,-0.7336074554543861,M,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,M,1,-0.34065447528536436
Male,25 - 45,Caucasian,-0.14145569521793772,M,1,-0.3598635205517965
Female,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,African-American,-0.7336074554543861,F,0,-0.03330975102245044
Male,< 25,African-American,-0.7336074554543861,F,1,-0.3598635205517965
Female,> 45,Caucasian,-0.7336074554543861,M,0,-0.34065447528536436
Male,> 45,Caucasian,-0.7336074554543861,M,0,-0.34065447528536436
Male,25 - 45,African-American,0.6480799850973268,F,0,-0.34065447528536436
Male,< 25,African-American,-0.7336074554543861,F,1,3.6548269401325166
Male,> 45,Caucasian,0.45069606501851067,F,0,2.9825103558073924
Male,25 - 45,Caucasian,0.8454639051761429,F,0,0.9463515575655876
Male,< 25,African-American,-0.3388396152967538,F,1,0.005108339510413799
Male,> 45,Caucasian,6.3722136673829946,F,1,0.25482592797403136
Male,25 - 45,Caucasian,-0.3388396152967538,M,1,-0.34065447528536436
Female,25 - 45,African-American,-0.7336074554543861,F,0,-0.12935497735461104
Female,25 - 45,Caucasian,-0.3388396152967538,M,1,-0.34065447528536436
Male,25 - 45,Caucasian,-0.53622353537557,F,0,-0.34065447528536436
Female,< 25,African-American,-0.7336074554543861,F,1,-0.34065447528536436
Male,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,< 25,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Male,25 - 45,African-American,-0.14145569521793772,F,1,0.25482592797403136
Male,25 - 45,African-American,-0.7336074554543861,F,0,-0.34065447528536436
Female,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.30223638475250014
Female,25 - 45,African-American,-0.3388396152967538,F,0,-0.34065447528536436
Male,25 - 45,African-American,1.6349995854914074,F,1,-0.34065447528536436
Male,< 25,African-American,-0.53622353537557,F,0,-0.34065447528536436
Male,> 45,African-American,-0.14145569521793772,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,0.005108339510413799
Male,< 25,African-American,-0.3388396152967538,F,1,-0.34065447528536436
Female,< 25,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Male,> 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,< 25,Caucasian,-0.3388396152967538,F,0,-0.3214454300189323
Male,25 - 45,African-American,0.45069606501851067,M,1,-0.30223638475250014
Male,< 25,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Female,< 25,African-American,-0.7336074554543861,F,1,-0.3598635205517965
Male,> 45,African-American,-0.14145569521793772,F,0,-0.30223638475250014
Male,25 - 45,African-American,-0.3388396152967538,M,0,0.6005887427698096
Female,> 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,< 25,African-American,-0.14145569521793772,F,1,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Male,< 25,African-American,-0.53622353537557,F,0,-0.3790725658182286
Male,< 25,Caucasian,-0.3388396152967538,M,1,-0.3598635205517965
Male,< 25,African-American,0.0559282248608784,F,1,3.846917392796838
Male,< 25,African-American,-0.7336074554543861,F,1,-0.12935497735461104
Male,25 - 45,Caucasian,-0.53622353537557,M,0,-0.3598635205517965
Female,> 45,Caucasian,-0.53622353537557,M,1,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,1,-0.20619115842033953
Male,25 - 45,African-American,0.6480799850973268,F,1,2.079685228285083
Female,> 45,Caucasian,-0.53622353537557,M,0,-0.3598635205517965
Female,< 25,African-American,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,African-American,-0.53622353537557,F,0,-0.283027339486068
Male,25 - 45,African-American,-0.53622353537557,M,0,-0.34065447528536436
Male,< 25,Caucasian,-0.53622353537557,M,0,0.33166210903975984
Male,25 - 45,African-American,0.45069606501851067,F,1,-0.34065447528536436
Male,< 25,African-American,0.0559282248608784,F,1,4.6344882487205545
Male,< 25,Caucasian,-0.14145569521793772,M,0,-0.2638182942196359
Male,25 - 45,African-American,3.806222706358385,F,1,-0.03330975102245044
Male,25 - 45,African-American,-0.3388396152967538,F,0,-0.2638182942196359
Male,> 45,African-American,-0.3388396152967538,F,0,-0.3598635205517965
Male,25 - 45,African-American,0.6480799850973268,F,0,-0.34065447528536436
Male,> 45,Caucasian,3.806222706358385,F,1,6.555392775363767
Female,> 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,25 - 45,African-American,1.6349995854914074,F,1,0.23561688270759926
Male,25 - 45,African-American,0.2533121449396945,F,0,0.6197977880362416
Male,25 - 45,Caucasian,-0.14145569521793772,M,0,-0.3598635205517965
Male,> 45,Caucasian,0.2533121449396945,F,1,5.22996865197995
Male,25 - 45,African-American,2.0297674256490397,F,1,-0.3598635205517965
Male,25 - 45,African-American,-0.3388396152967538,F,0,-0.34065447528536436
Male,< 25,African-American,-0.7336074554543861,M,1,0.04352643004327804
Male,25 - 45,African-American,0.45069606501851067,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Male,> 45,Caucasian,-0.3388396152967538,F,0,-0.3598635205517965
Male,> 45,African-American,0.2533121449396945,F,0,-0.12935497735461104
Male,25 - 45,African-American,1.0428478252549591,F,1,0.6390068333026737
Male,> 45,Caucasian,0.0559282248608784,F,1,-0.22540020368677166
Male,25 - 45,African-American,-0.14145569521793772,F,0,-0.34065447528536436
Female,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,> 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Female,< 25,African-American,-0.7336074554543861,F,0,-0.3598635205517965
Female,25 - 45,African-American,-0.53622353537557,F,1,-0.3598635205517965
Male,> 45,African-American,1.4376156654125913,F,0,1.7531314587557367
Male,25 - 45,Caucasian,-0.7336074554543861,M,1,-0.3598635205517965
Male,< 25,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Female,> 45,Caucasian,-0.3388396152967538,M,0,-0.34065447528536436
Male,25 - 45,African-American,0.6480799850973268,M,1,-0.34065447528536436
Male,< 25,Caucasian,-0.53622353537557,F,1,-0.3598635205517965
Male,25 - 45,African-American,0.8454639051761429,F,1,-0.30223638475250014
Male,< 25,African-American,-0.7336074554543861,F,1,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,M,1,-0.2638182942196359
Male,25 - 45,African-American,0.8454639051761429,F,0,1.311323417627798
Male,> 45,African-American,3.411454866200753,M,1,0.7734701501676986
Male,< 25,African-American,-0.14145569521793772,F,0,1.6762952776900082
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Male,> 45,African-American,-0.53622353537557,F,1,0.12036261110900652
Male,25 - 45,Caucasian,-0.14145569521793772,M,0,-0.3790725658182286
Male,25 - 45,African-American,-0.14145569521793772,F,0,0.2740349732404635
Male,< 25,Caucasian,-0.14145569521793772,F,1,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,F,0,-0.34065447528536436
Male,25 - 45,African-American,-0.3388396152967538,F,0,-0.3598635205517965
Female,< 25,African-American,-0.14145569521793772,F,1,-0.34065447528536436
Male,< 25,Caucasian,-0.53622353537557,F,1,0.25482592797403136
Male,25 - 45,Caucasian,-0.3388396152967538,M,0,-0.3598635205517965
Female,< 25,Caucasian,-0.7336074554543861,F,0,-0.3598635205517965
Male,25 - 45,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,< 25,African-American,-0.53622353537557,F,1,-0.34065447528536436
Male,< 25,African-American,-0.53622353537557,M,1,-0.34065447528536436
Male,> 45,Caucasian,0.0559282248608784,F,0,-0.34065447528536436
Female,> 45,African-American,-0.14145569521793772,F,0,-0.3790725658182286
Male,25 - 45,African-American,-0.53622353537557,M,0,-0.283027339486068
Male,25 - 45,African-American,0.2533121449396945,F,0,-0.34065447528536436
Male,< 25,Caucasian,-0.7336074554543861,M,0,-0.3598635205517965
Male,> 45,African-American,2.424535265806672,F,0,0.8695153764998592
Female,> 45,African-American,-0.3388396152967538,F,1,-0.18698211315390742
Male,25 - 45,Caucasian,-0.7336074554543861,M,1,-0.30223638475250014
Male,25 - 45,African-American,1.8323835055702236,M,1,-0.34065447528536436
Female,> 45,African-American,2.424535265806672,F,0,0.9079334670327234
Male,25 - 45,African-American,-0.53622353537557,M,1,-0.11014593208817892
Male,25 - 45,African-American,-0.14145569521793772,F,1,-0.34065447528536436
Male,> 45,Caucasian,0.45069606501851067,F,1,-0.34065447528536436
Male,25 - 45,Caucasian,-0.53622353537557,F,1,-0.283027339486068
Male,> 45,African-American,0.2533121449396945,F,1,1.9068038208871936
Male,25 - 45,African-American,1.2402317453337752,F,1,-0.3598635205517965
Male,25 - 45,African-American,0.2533121449396945,F,0,-0.34065447528536436
Male,> 45,Caucasian,-0.3388396152967538,F,0,-0.30223638475250014
Male,25 - 45,African-American,-0.7336074554543861,F,0,-0.34065447528536436
Male,< 25,African-American,0.45069606501851067,F,0,-0.3598635205517965
Male,> 45,African-American,4.793142306752466,F,1,-0.2638182942196359
